"ID","阶段","任务","人日","依赖","交付物","验收标准","责任角色","版本"
"M0-01","M0","真机环境与驱动能力探测","2","","设备能力报告","截图树输入返回和应用切换均有结果","E+U","MVP"
"M0-02","M0","基线采样与断连协议诊断","2","M0-01","基准及故障记录","完整记录版本与失败类型","E+Q","MVP"
"M0-03","M0","冻结契约依赖及可行性评审","1","M0-02","契约和锁定清单","明确go或no-go与修订工期","E","MVP"
"M1-01","M1","Adapter及常驻Runtime","3","M0-03","设备适配和启动器","前端探测无设备副作用且设备连接复用","E","MVP"
"M1-02","M1","会话租约与最小安全策略","2","M1-01","会话状态机","争用拒绝及危险动作禁止用例通过","E+Q","MVP"
"M1-03","M1","Journal幂等及未知执行恢复","2","M1-02","执行日志和错误状态","重复请求不重复派发且unknown不盲重试","E+Q","MVP"
"M2-01","M2","FAST与最小Catalog及Grounding","3","M1-03","带版本观察和目标","旧目标拒绝且歧义显式返回","E","MVP"
"M2-02","M2","四工具及有界Wait","3","M2-01","MCP服务及契约测试","协议日志隔离及取消超时通过","E+Q","MVP"
"M2-03","M2","Codex接入及MVP验收","2","M2-02","示例配置和任务报告","三类任务至少27/30且硬门槛全部通过","E+Q","MVP"
"M3-01","M3","FULL与Catalog和SoM","3","M2-03","标注观察及候选列表","标号与目录一致且截图树时序可核查","E","v1"
"M3-02","M3","分层Grounding及OCR和视觉降级","4","M3-01","定位引擎及能力探测","代表目标定位至少90%且歧义不误选","E+Q","v1"
"M3-03","M3","验证Incident及可信高风险授权","3","M3-02","恢复及授权状态机","仅证据闭环关闭故障且模型不能自授权","E+Q","v1"
"M4-01","M4","TEMPORAL及本地watch","3","M3-03","实时采样与命中检测","瞬时目标及时检测且时间戳可追踪","E","v1"
"M4-02","M4","有界Burst与跨页重新定位","3","M4-01","逐步执行及停止报告","最多5动作且旧页面目标不能复用","E+Q","v1"
"M4-03","M4","性能优化及分段基准","3","M4-02","延迟分布报告","至少200热样本和20冷启动且失败不剔除","E+Q","v1"
"M5-01","M5","History和只读Replay及证据保留","3","M4-03","检索回放和配额策略","回放无写操作且证据可追溯","E","v1"
"M5-02","M5","上下文压缩及历史召回","3","M5-01","摘要与原证据索引","保留约束未解故障和检查点","E+Q","v1"
"M5-03","M5","50及100步跨应用任务验证","3","M5-02","长任务数据集和报告","两类各5次至少4成功且终态有证据","E+Q","v1"
"M6-01","M6","DeepSeekHarness和OpenCode适配","3","M5-03","两客户端示例及兼容矩阵","各10次短任务至少9成功并验证图像降级","E+Q","v1"
"M6-02","M6","安装诊断及连接可靠性","2","M6-01","doctor及安装流程","持续2小时和10次断连结果可复核","E+Q","v1"
"M6-03","M6","故障注入及泛化回归","2","M6-02","回归报告","安全硬门槛全通过且保留用例至少8/10","E+Q","v1"
"M7-01","M7","发布打包与干净环境验收","3","M6-03","安装包和兼容矩阵","按文档可安装并完成端到端任务","E+Q","v1"
"M7-02","M7","最终文档演示与发布收口","2","M7-01","发布说明和限制清单","无未解决阻断缺陷","E+Q","v1"
"B1","缓冲","v1兼容及稳定性风险储备","12","M7-02","风险修复及回归","只用于既定范围缺陷而非新增功能","E+Q","v1缓冲"
"P01","Pro","异步任务状态预算及模型配置","4","M7-02","run-status-cancel","可查询取消且超预算停止","E","v2"
"P02","Pro","Planner和living-plan检查点","5","P01","规划及重规划模块","子目标可验证且变更有原因","E","v2"
"P03","Pro","Operator与只读Checker","5","P02","执行检查闭环","Checker无写权限且失败不标成功","E+Q","v2"
"P04","Pro","恢复召回与对照评测","4","P03","对照基准","长任务各5次至少4成功并报告成本耗时","E+Q","v2"
"P05","Pro","打包文档和发布回归","2","P04","v2候选发布包","任务三工具全链路及预算测试通过","E+Q","v2"
"B2","缓冲","Pro风险储备","5","P05","Pro修复回归","达到v2门槛","E+Q","v2缓冲"
